Age,EdLevel,YearsCodePro,DevType,CompanySize,Salary_USD
18-35 years old,Bachelor,2,DE/DA/BA,Small(1-99),70000.0
>35 years old,Bachelor,13,DE/DA/BA,Medium(100-999),135000.0
18-35 years old,Master,4,DE/DA/BA,Medium(100-999),3500.0
18-35 years old,Master,1,DS/MLE,Small(1-99),49560.0
18-35 years old,Master,2,DS/MLE,Small(1-99),53100.0
18-35 years old,Bachelor,11,DE/DA/BA,Medium(100-999),94400.0
>35 years old,Doctoral(PhD),3,DS/MLE,Large(>1000),82600.0
>35 years old,Bachelor,22,DE/DA/BA,Large(>1000),149000.0
18-35 years old,Bachelor,6,DS/MLE,Small(1-99),2596.0
18-35 years old,Doctoral(PhD),6,DS/MLE,Small(1-99),125000.0
18-35 years old,Master,2,DS/MLE,Large(>1000),59000.0
>35 years old,Master,13,DE/DA/BA,Small(1-99),84960.0
18-35 years old,Bachelor,6,DS/MLE,Small(1-99),16800.0
18-35 years old,Master,8,DE/DA/BA,Small(1-99),90000.0
18-35 years old,Doctoral(PhD),10,DS/MLE,Small(1-99),49560.0
>35 years old,Master,12,DE/DA/BA,Large(>1000),82800.0
18-35 years old,Master,7,DS/MLE,Large(>1000),270000.0
>35 years old,Master,12,DE/DA/BA,Large(>1000),83780.0
18-35 years old,Master,3,DE/DA/BA,Small(1-99),130000.0
>35 years old,Master,46,DE/DA/BA,Small(1-99),102700.0
18-35 years old,Master,5,DE/DA/BA,Small(1-99),41400.0
18-35 years old,Master,2,DE/DA/BA,Large(>1000),59000.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),67260.0
18-35 years old,Bachelor,5,DS/MLE,Small(1-99),64900.0
18-35 years old,Master,1,DS/MLE,Large(>1000),53720.0
18-35 years old,Bachelor,12,DE/DA/BA,Large(>1000),135000.0
18-35 years old,Master,4,DS/MLE,Medium(100-999),28320.0
18-35 years old,Doctoral(PhD),7,DS/MLE,Medium(100-999),172500.0
>35 years old,Master,20,DS/MLE,Large(>1000),130000.0
18-35 years old,Bachelor,11,DE/DA/BA,Small(1-99),77815.0
>35 years old,Master,14,DE/DA/BA,Large(>1000),88500.0
18-35 years old,Bachelor,3,DE/DA/BA,Small(1-99),6136.0
18-35 years old,Master,3,DS/MLE,Small(1-99),2360.0
18-35 years old,Doctoral(PhD),7,DS/MLE,Medium(100-999),30680.0
18-35 years old,Bachelor,Less than 1 year,DE/DA/BA,Small(1-99),73000.0
>35 years old,Master,9,DE/DA/BA,Medium(100-999),86000.0
>35 years old,Doctoral(PhD),16,DE/DA/BA,Large(>1000),92040.0
>35 years old,Bachelor,10,DS/MLE,Large(>1000),143520.0
18-35 years old,Bachelor,5,DS/MLE,Large(>1000),50000.0
18-35 years old,Master,4,DS/MLE,Small(1-99),80244.72
18-35 years old,Master,4,DE/DA/BA,Large(>1000),53100.0
18-35 years old,Master,6,DE/DA/BA,Small(1-99),200000.0
>35 years old,Bachelor,13,DE/DA/BA,Medium(100-999),76700.0
>35 years old,Bachelor,15,DE/DA/BA,Large(>1000),89000.0
18-35 years old,Master,5,DS/MLE,Large(>1000),125000.0
>35 years old,Bachelor,15,DS/MLE,Small(1-99),79000.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),7980.0
>35 years old,Master,22,DS/MLE,Large(>1000),70800.0
>35 years old,Master,40,DE/DA/BA,Medium(100-999),73140.0
18-35 years old,Bachelor,1,DE/DA/BA,Small(1-99),18720.0
18-35 years old,Master,7,DS/MLE,Large(>1000),94400.0
>35 years old,Bachelor,10,DE/DA/BA,Small(1-99),50000.0
18-35 years old,Master,4,DE/DA/BA,Small(1-99),49560.0
>35 years old,Doctoral(PhD),9,DS/MLE,Large(>1000),100739.99999999999
>35 years old,Bachelor,9,DE/DA/BA,Small(1-99),82950.0
18-35 years old,Bachelor,3,DE/DA/BA,Medium(100-999),100000.0
18-35 years old,Bachelor,1,DS/MLE,Large(>1000),980.0
18-35 years old,Master,6,DE/DA/BA,Medium(100-999),55460.0
>35 years old,Doctoral(PhD),10,DS/MLE,Medium(100-999),149040.0
>35 years old,Doctoral(PhD),19,DS/MLE,Medium(100-999),160000.0
18-35 years old,Bachelor,2,DS/MLE,Medium(100-999),100000.0
18-35 years old,Master,5,DS/MLE,Small(1-99),800.0
18-35 years old,Master,11,DS/MLE,Medium(100-999),2006.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),69620.0
>35 years old,Bachelor,9,DE/DA/BA,Small(1-99),90000.0
18-35 years old,Master,5,DE/DA/BA,Small(1-99),41300.0
>35 years old,Bachelor,29,DE/DA/BA,Small(1-99),110399.99999999999
>35 years old,Bachelor,22,DE/DA/BA,Medium(100-999),41870.0
>35 years old,Doctoral(PhD),27,DE/DA/BA,Large(>1000),106200.0
18-35 years old,Master,11,DE/DA/BA,Small(1-99),59000.0
18-35 years old,Master,6,DE/DA/BA,Small(1-99),2360.0
18-35 years old,Doctoral(PhD),5,DS/MLE,Small(1-99),32000.0
18-35 years old,Master,10,DS/MLE,Small(1-99),63720.0
>35 years old,Bachelor,20,DE/DA/BA,Medium(100-999),72000.0
18-35 years old,Bachelor,6,DE/DA/BA,Small(1-99),175000.0
18-35 years old,Master,8,DE/DA/BA,Small(1-99),88500.0
18-35 years old,Master,3,DS/MLE,Large(>1000),55460.0
18-35 years old,Bachelor,3,DS/MLE,Large(>1000),172500.0
18-35 years old,Master,10,DE/DA/BA,Large(>1000),98000.0
18-35 years old,Master,9,DS/MLE,Medium(100-999),2655.0
18-35 years old,Master,3,DE/DA/BA,Large(>1000),37760.0
18-35 years old,Master,11,DS/MLE,Small(1-99),89680.0
>35 years old,Master,2,DS/MLE,Large(>1000),55199.99999999999
18-35 years old,Bachelor,1,DE/DA/BA,Medium(100-999),50000.0
18-35 years old,Master,2,DS/MLE,Medium(100-999),2832.0
18-35 years old,Doctoral(PhD),2,DS/MLE,Large(>1000),2950.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),38640.0
>35 years old,Bachelor,14,DE/DA/BA,Small(1-99),140500.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),308.0
18-35 years old,Master,3,DS/MLE,Large(>1000),117000.0
18-35 years old,Master,2,DE/DA/BA,Medium(100-999),64900.0
>35 years old,Master,16,DS/MLE,Large(>1000),150000.0
18-35 years old,Master,5,DS/MLE,Small(1-99),71100.0
