Age,EdLevel,YearsCodePro,DevType,CompanySize,Salary_USD
18-35 years old,Bachelor,9,DE/DA/BA,Medium(100-999),5074.0
>35 years old,Doctoral(PhD),4,DS/MLE,Small(1-99),47200.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),2950.0
>35 years old,Doctoral(PhD),16,DS/MLE,Large(>1000),4012.0
18-35 years old,Bachelor,5,DS/MLE,Small(1-99),15400.0
18-35 years old,Master,6,DS/MLE,Large(>1000),14160.0
>35 years old,Bachelor,13,DE/DA/BA,Large(>1000),37800.0
18-35 years old,Bachelor,3,DS/MLE,Large(>1000),30680.0
18-35 years old,Bachelor,4,DS/MLE,Medium(100-999),25200.0
18-35 years old,Master,7,DS/MLE,Large(>1000),4720.0
18-35 years old,Doctoral(PhD),8,DS/MLE,Large(>1000),58530.35999999999
>35 years old,Master,27,DE/DA/BA,Medium(100-999),7434.0
>35 years old,Master,13,DS/MLE,Medium(100-999),165200.0
>35 years old,Master,2,DS/MLE,Large(>1000),55199.99999999999
18-35 years old,Master,3,DE/DA/BA,Large(>1000),105000.0
18-35 years old,Master,2,DE/DA/BA,Small(1-99),2124.0
>35 years old,Doctoral(PhD),21,DS/MLE,Large(>1000),179701.6
18-35 years old,Bachelor,4,DE/DA/BA,Large(>1000),64900.0
18-35 years old,Master,5,DE/DA/BA,Small(1-99),49560.0
>35 years old,Master,20,DE/DA/BA,Small(1-99),6608.0
18-35 years old,Master,2,DS/MLE,Small(1-99),200.0
18-35 years old,Doctoral(PhD),7,DS/MLE,Medium(100-999),57820.0
18-35 years old,Bachelor,Less than 1 year,DE/DA/BA,Small(1-99),33120.0
>35 years old,Master,15,DE/DA/BA,Small(1-99),153400.0
18-35 years old,Master,4,DS/MLE,Small(1-99),151800.0
>35 years old,Bachelor,40,DS/MLE,Small(1-99),117299.99999999999
18-35 years old,Master,2,DS/MLE,Small(1-99),43660.0
18-35 years old,Bachelor,11,DS/MLE,Medium(100-999),172500.0
18-35 years old,Master,4,DS/MLE,Small(1-99),35400.0
>35 years old,Bachelor,24,DE/DA/BA,Medium(100-999),12620.0
18-35 years old,Master,3,DS/MLE,Small(1-99),49265.0
>35 years old,Master,18,DS/MLE,Medium(100-999),47600.0
18-35 years old,Master,9,DE/DA/BA,Medium(100-999),96288.0
18-35 years old,Bachelor,2,DS/MLE,Large(>1000),980.0
18-35 years old,Bachelor,12,DE/DA/BA,Large(>1000),131100.0
18-35 years old,Bachelor,6,DE/DA/BA,Medium(100-999),69000.0
18-35 years old,Master,7,DS/MLE,Large(>1000),103499.99999999999
18-35 years old,Master,7,DS/MLE,Medium(100-999),131100.0
18-35 years old,Master,4,DS/MLE,Medium(100-999),5428.0
18-35 years old,Master,Less than 1 year,DS/MLE,Large(>1000),64900.0
18-35 years old,Bachelor,8,DE/DA/BA,Large(>1000),52186.079999999994
>35 years old,Bachelor,35,DE/DA/BA,Large(>1000),117299.99999999999
>35 years old,Master,20,DS/MLE,Large(>1000),79800.0
18-35 years old,Master,5,DS/MLE,Small(1-99),42480.0
>35 years old,Master,2,DS/MLE,Small(1-99),2183.0
>35 years old,Master,2,DE/DA/BA,Small(1-99),40120.0
18-35 years old,Bachelor,1,DS/MLE,Small(1-99),1400.0
18-35 years old,Master,6,DS/MLE,Large(>1000),69000.0
18-35 years old,Master,2,DE/DA/BA,Small(1-99),59000.0
>35 years old,Master,5,DE/DA/BA,Medium(100-999),6254.0
>35 years old,Doctoral(PhD),14,DS/MLE,Small(1-99),4130.0
>35 years old,Master,26,DE/DA/BA,Small(1-99),76700.0
18-35 years old,Master,2,DE/DA/BA,Small(1-99),560.0
18-35 years old,Bachelor,6,DE/DA/BA,Medium(100-999),46020.0
18-35 years old,Master,4,DE/DA/BA,Small(1-99),42480.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),14000.0
18-35 years old,Doctoral(PhD),3,DS/MLE,Small(1-99),31818.699999999997
>35 years old,Doctoral(PhD),36,DS/MLE,Small(1-99),55199.99999999999
>35 years old,Doctoral(PhD),21,DS/MLE,Medium(100-999),236000.0
18-35 years old,Bachelor,7,DS/MLE,Large(>1000),59000.0
>35 years old,Doctoral(PhD),17,DS/MLE,Medium(100-999),5310.0
>35 years old,Master,21,DE/DA/BA,Small(1-99),5900.0
18-35 years old,Bachelor,Less than 1 year,DE/DA/BA,Medium(100-999),60000.0
18-35 years old,Bachelor,10,DE/DA/BA,Large(>1000),21000.0
>35 years old,Bachelor,20,DE/DA/BA,Large(>1000),68586.0
>35 years old,Doctoral(PhD),5,DS/MLE,Medium(100-999),500000.0
18-35 years old,Master,4,DS/MLE,Small(1-99),73160.0
18-35 years old,Master,4,DE/DA/BA,Large(>1000),94400.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),64900.0
>35 years old,Master,8,DS/MLE,Small(1-99),70800.0
>35 years old,Master,13,DE/DA/BA,Small(1-99),4720.0
18-35 years old,Master,7,DS/MLE,Large(>1000),53100.0
18-35 years old,Bachelor,3,DS/MLE,Small(1-99),15400.0
18-35 years old,Bachelor,3,DE/DA/BA,Small(1-99),420.0
18-35 years old,Bachelor,2,DE/DA/BA,Medium(100-999),49770.0
18-35 years old,Master,10,DS/MLE,Large(>1000),6136.0
18-35 years old,Bachelor,10,DS/MLE,Small(1-99),69000.0
>35 years old,Bachelor,13,DE/DA/BA,Medium(100-999),132496.0
18-35 years old,Bachelor,1,DE/DA/BA,Medium(100-999),30680.0
18-35 years old,Bachelor,Less than 1 year,DS/MLE,Small(1-99),2360.0
18-35 years old,Doctoral(PhD),2,DS/MLE,Large(>1000),3304.0
18-35 years old,Master,8,DE/DA/BA,Large(>1000),150000.0
18-35 years old,Master,Less than 1 year,DE/DA/BA,Medium(100-999),5040.0
18-35 years old,Master,5,DS/MLE,Medium(100-999),1947.0
>35 years old,Bachelor,22,DE/DA/BA,Medium(100-999),79000.0
18-35 years old,Bachelor,3,DS/MLE,Small(1-99),40000.0
>35 years old,Bachelor,9,DE/DA/BA,Medium(100-999),10108.0
18-35 years old,Bachelor,9,DE/DA/BA,Medium(100-999),147500.0
>35 years old,Doctoral(PhD),34,DS/MLE,Medium(100-999),88320.0
18-35 years old,Master,1,DE/DA/BA,Small(1-99),546.0
18-35 years old,Bachelor,8,DS/MLE,Large(>1000),159000.0
>35 years old,Bachelor,13,DE/DA/BA,Small(1-99),40000.0
18-35 years old,Doctoral(PhD),4,DS/MLE,Large(>1000),120000.0
>35 years old,Master,8,DE/DA/BA,Large(>1000),100000.0
18-35 years old,Master,4,DE/DA/BA,Large(>1000),64900.0
>35 years old,Bachelor,4,DE/DA/BA,Large(>1000),89700.0
>35 years old,Bachelor,13,DE/DA/BA,Medium(100-999),63315.0
>35 years old,Bachelor,9,DE/DA/BA,Medium(100-999),42780.0
>35 years old,Bachelor,25,DS/MLE,Large(>1000),95000.0
18-35 years old,Master,5,DS/MLE,Small(1-99),140000.0
18-35 years old,Master,3,DE/DA/BA,Large(>1000),74000.0
>35 years old,Bachelor,42,DE/DA/BA,Large(>1000),75900.0
18-35 years old,Master,8,DE/DA/BA,Small(1-99),180000.0
18-35 years old,Bachelor,3,DS/MLE,Small(1-99),80000.0
18-35 years old,Master,5,DE/DA/BA,Medium(100-999),69000.0
18-35 years old,Bachelor,1,DS/MLE,Medium(100-999),86900.0
18-35 years old,Master,15,DE/DA/BA,Small(1-99),70000.0
18-35 years old,Master,Less than 1 year,DE/DA/BA,Small(1-99),1569.3999999999999
18-35 years old,Doctoral(PhD),2,DS/MLE,Large(>1000),50000.0
>35 years old,Doctoral(PhD),15,DE/DA/BA,Medium(100-999),82600.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),5428.0
>35 years old,Master,18,DE/DA/BA,Medium(100-999),300000.0
>35 years old,Bachelor,22,DE/DA/BA,Medium(100-999),120000.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),1500.0
18-35 years old,Master,7,DE/DA/BA,Small(1-99),4956.0
>35 years old,Master,13,DS/MLE,Large(>1000),120000.0
>35 years old,Bachelor,23,DE/DA/BA,Medium(100-999),190000.0
18-35 years old,Master,12,DS/MLE,Small(1-99),79060.0
18-35 years old,Bachelor,Less than 1 year,DE/DA/BA,Medium(100-999),45000.0
>35 years old,Master,15,DS/MLE,Large(>1000),54280.0
>35 years old,Bachelor,23,DE/DA/BA,Small(1-99),140000.0
18-35 years old,Bachelor,1,DS/MLE,Large(>1000),85000.0
>35 years old,Master,9,DE/DA/BA,Small(1-99),29500.0
18-35 years old,Master,9,DE/DA/BA,Large(>1000),73160.0
18-35 years old,Master,15,DS/MLE,Medium(100-999),110920.0
>35 years old,Bachelor,25,DE/DA/BA,Medium(100-999),97000.0
18-35 years old,Bachelor,10,DS/MLE,Small(1-99),170000.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),161000.0
>35 years old,Master,8,DS/MLE,Large(>1000),240000.0
18-35 years old,Master,1,DS/MLE,Medium(100-999),44840.0
>35 years old,Bachelor,23,DE/DA/BA,Small(1-99),160000.0
18-35 years old,Bachelor,2,DE/DA/BA,Large(>1000),132480.0
>35 years old,Doctoral(PhD),6,DS/MLE,Medium(100-999),168000.0
18-35 years old,Master,4,DE/DA/BA,Medium(100-999),73000.0
18-35 years old,Master,3,DS/MLE,Small(1-99),68440.0
>35 years old,Doctoral(PhD),10,DS/MLE,Medium(100-999),171000.0
18-35 years old,Bachelor,15,DE/DA/BA,Large(>1000),190000.0
18-35 years old,Master,2,DS/MLE,Medium(100-999),4130.0
18-35 years old,Master,12,DS/MLE,Small(1-99),5750.0
18-35 years old,Bachelor,1,DS/MLE,Small(1-99),2100.0
>35 years old,Doctoral(PhD),5,DS/MLE,Medium(100-999),130000.0
>35 years old,Bachelor,6,DS/MLE,Medium(100-999),215000.0
>35 years old,Bachelor,10,DS/MLE,Small(1-99),133000.0
>35 years old,Doctoral(PhD),43,DE/DA/BA,Large(>1000),75900.0
18-35 years old,Master,7,DE/DA/BA,Medium(100-999),71980.0
>35 years old,Master,16,DE/DA/BA,Large(>1000),6608.0
18-35 years old,Master,10,DE/DA/BA,Medium(100-999),200000.0
>35 years old,Master,5,DE/DA/BA,Medium(100-999),96599.99999999999
>35 years old,Master,16,DS/MLE,Medium(100-999),115000.0
18-35 years old,Master,5,DS/MLE,Small(1-99),130000.0
18-35 years old,Master,3,DS/MLE,Large(>1000),86000.0
18-35 years old,Master,3,DE/DA/BA,Small(1-99),94000.0
18-35 years old,Master,8,DS/MLE,Small(1-99),75000.0
>35 years old,Bachelor,16,DS/MLE,Large(>1000),197500.0
18-35 years old,Bachelor,3,DE/DA/BA,Small(1-99),80000.0
18-35 years old,Master,6,DS/MLE,Large(>1000),215000.0
18-35 years old,Master,4,DS/MLE,Small(1-99),190000.0
>35 years old,Bachelor,40,DE/DA/BA,Small(1-99),130000.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),125000.0
>35 years old,Master,15,DS/MLE,Small(1-99),50740.0
18-35 years old,Master,4,DS/MLE,Large(>1000),130000.0
>35 years old,Master,12,DS/MLE,Small(1-99),59250.0
18-35 years old,Bachelor,Less than 1 year,DE/DA/BA,Large(>1000),64000.0
>35 years old,Master,22,DS/MLE,Large(>1000),99540.0
>35 years old,Doctoral(PhD),25,DS/MLE,Large(>1000),300000.0
>35 years old,Master,25,DS/MLE,Large(>1000),122000.0
>35 years old,Doctoral(PhD),10,DS/MLE,Large(>1000),210000.0
>35 years old,Master,13,DS/MLE,Small(1-99),86000.0
>35 years old,Bachelor,18,DE/DA/BA,Large(>1000),151500.0
18-35 years old,Master,4,DE/DA/BA,Small(1-99),90000.0
18-35 years old,Bachelor,4,DS/MLE,Large(>1000),77000.0
>35 years old,Master,17,DE/DA/BA,Large(>1000),103499.99999999999
>35 years old,Doctoral(PhD),21,DE/DA/BA,Medium(100-999),102700.0
>35 years old,Bachelor,37,DE/DA/BA,Small(1-99),187000.0
>35 years old,Doctoral(PhD),15,DE/DA/BA,Large(>1000),128500.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),63200.0
18-35 years old,Doctoral(PhD),3,DS/MLE,Large(>1000),49679.99999999999
>35 years old,Bachelor,7,DS/MLE,Small(1-99),90000.0
18-35 years old,Bachelor,4,DE/DA/BA,Medium(100-999),65000.0
>35 years old,Master,25,DE/DA/BA,Medium(100-999),3186.0
>35 years old,Bachelor,18,DE/DA/BA,Medium(100-999),108000.0
18-35 years old,Bachelor,4,DE/DA/BA,Small(1-99),151800.0
18-35 years old,Master,9,DS/MLE,Small(1-99),7788.0
>35 years old,Bachelor,20,DS/MLE,Medium(100-999),134300.0
>35 years old,Bachelor,21,DE/DA/BA,Large(>1000),155000.0
18-35 years old,Doctoral(PhD),4,DS/MLE,Small(1-99),110000.0
18-35 years old,Bachelor,4,DE/DA/BA,Large(>1000),210000.0
18-35 years old,Master,7,DS/MLE,Small(1-99),91520.0
18-35 years old,Doctoral(PhD),3,DE/DA/BA,Small(1-99),55199.99999999999
>35 years old,Bachelor,36,DE/DA/BA,Large(>1000),120000.0
>35 years old,Master,8,DE/DA/BA,Medium(100-999),14100.0
18-35 years old,Bachelor,10,DS/MLE,Large(>1000),202240.0
18-35 years old,Bachelor,8,DS/MLE,Medium(100-999),80000.0
18-35 years old,Master,5,DS/MLE,Large(>1000),98750.0
>35 years old,Master,18,DE/DA/BA,Large(>1000),170713.0
18-35 years old,Bachelor,1,DS/MLE,Small(1-99),52000.0
>35 years old,Doctoral(PhD),20,DE/DA/BA,Small(1-99),110399.99999999999
18-35 years old,Master,4,DS/MLE,Small(1-99),95590.0
>35 years old,Master,25,DE/DA/BA,Large(>1000),185000.0
18-35 years old,Doctoral(PhD),2,DE/DA/BA,Small(1-99),103499.99999999999
18-35 years old,Bachelor,6,DE/DA/BA,Large(>1000),116000.0
>35 years old,Bachelor,12,DE/DA/BA,Medium(100-999),90000.0
>35 years old,Master,20,DE/DA/BA,Small(1-99),4720.0
>35 years old,Master,17,DE/DA/BA,Small(1-99),103499.99999999999
18-35 years old,Master,7,DS/MLE,Medium(100-999),56640.0
18-35 years old,Bachelor,12,DS/MLE,Small(1-99),160000.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),82950.0
18-35 years old,Master,5,DS/MLE,Large(>1000),269200.0
>35 years old,Doctoral(PhD),7,DS/MLE,Medium(100-999),150000.0
>35 years old,Master,3,DS/MLE,Small(1-99),4740.0
18-35 years old,Bachelor,4,DE/DA/BA,Small(1-99),80000.0
18-35 years old,Master,1,DE/DA/BA,Large(>1000),44160.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),76630.0
18-35 years old,Doctoral(PhD),9,DE/DA/BA,Large(>1000),115000.0
18-35 years old,Master,6,DE/DA/BA,Large(>1000),100000.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),90000.0
18-35 years old,Master,3,DE/DA/BA,Medium(100-999),75840.0
>35 years old,Master,25,DS/MLE,Large(>1000),170000.0
18-35 years old,Bachelor,10,DS/MLE,Large(>1000),126400.0
18-35 years old,Bachelor,2,DE/DA/BA,Small(1-99),67940.0
>35 years old,Bachelor,24,DS/MLE,Large(>1000),400000.0
>35 years old,Bachelor,16,DS/MLE,Medium(100-999),135000.0
18-35 years old,Master,7,DS/MLE,Large(>1000),200000.0
18-35 years old,Bachelor,9,DS/MLE,Large(>1000),47600.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),65000.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),84000.0
>35 years old,Bachelor,15,DE/DA/BA,Small(1-99),1770.0
18-35 years old,Master,1,DS/MLE,Medium(100-999),21000.0
18-35 years old,Bachelor,3,DS/MLE,Large(>1000),115000.0
18-35 years old,Doctoral(PhD),2,DS/MLE,Large(>1000),57820.0
18-35 years old,Master,8,DS/MLE,Large(>1000),93000.0
18-35 years old,Master,4,DS/MLE,Large(>1000),160000.0
18-35 years old,Master,4,DS/MLE,Medium(100-999),2950.0
18-35 years old,Bachelor,5,DS/MLE,Small(1-99),1400.0
>35 years old,Bachelor,15,DE/DA/BA,Medium(100-999),79000.0
18-35 years old,Bachelor,2,DE/DA/BA,Medium(100-999),21000.0
>35 years old,Master,17,DS/MLE,Medium(100-999),89680.0
18-35 years old,Doctoral(PhD),11,DS/MLE,Large(>1000),76700.0
18-35 years old,Bachelor,Less than 1 year,DE/DA/BA,Small(1-99),210.0
18-35 years old,Bachelor,11,DS/MLE,Medium(100-999),98000.0
18-35 years old,Bachelor,10,DE/DA/BA,Medium(100-999),125000.0
>35 years old,Master,15,DE/DA/BA,Small(1-99),107380.0
18-35 years old,Bachelor,Less than 1 year,DS/MLE,Large(>1000),9800.0
18-35 years old,Master,6,DE/DA/BA,Medium(100-999),2124.0
18-35 years old,Bachelor,Less than 1 year,DS/MLE,Large(>1000),2596.0
>35 years old,Doctoral(PhD),21,DS/MLE,Medium(100-999),5900.0
18-35 years old,Master,5,DS/MLE,Large(>1000),94400.0
18-35 years old,Bachelor,14,DE/DA/BA,Large(>1000),23940.0
18-35 years old,Bachelor,9,DE/DA/BA,Large(>1000),57959.99999999999
18-35 years old,Bachelor,4,DE/DA/BA,Large(>1000),14168.0
>35 years old,Bachelor,22,DS/MLE,Large(>1000),56579.99999999999
18-35 years old,Master,6,DS/MLE,Large(>1000),50740.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),21830.0
>35 years old,Bachelor,29,DS/MLE,Large(>1000),155400.0
18-35 years old,Master,6,DE/DA/BA,Large(>1000),61360.0
18-35 years old,Bachelor,4,DS/MLE,Small(1-99),84960.0
18-35 years old,Master,4,DE/DA/BA,Small(1-99),1180.0
18-35 years old,Master,2,DS/MLE,Small(1-99),47200.0
18-35 years old,Bachelor,2,DS/MLE,Large(>1000),77280.0
>35 years old,Bachelor,12,DE/DA/BA,Small(1-99),69000.0
18-35 years old,Master,1,DS/MLE,Large(>1000),35000.0
>35 years old,Master,14,DS/MLE,Large(>1000),138000.0
18-35 years old,Bachelor,1,DE/DA/BA,Small(1-99),3304.0
18-35 years old,Doctoral(PhD),5,DS/MLE,Large(>1000),94400.0
>35 years old,Master,12,DS/MLE,Large(>1000),82800.0
18-35 years old,Bachelor,2,DE/DA/BA,Small(1-99),322.0
18-35 years old,Bachelor,5,DS/MLE,Large(>1000),16800.0
18-35 years old,Bachelor,13,DS/MLE,Large(>1000),103499.99999999999
>35 years old,Doctoral(PhD),15,DS/MLE,Small(1-99),3540.0
>35 years old,Bachelor,29,DS/MLE,Small(1-99),149000.0
18-35 years old,Bachelor,1,DE/DA/BA,Small(1-99),62540.0
>35 years old,Master,28,DS/MLE,Medium(100-999),4720.0
>35 years old,Master,34,DE/DA/BA,Large(>1000),168945.0
18-35 years old,Bachelor,10,DE/DA/BA,Small(1-99),90000.0
>35 years old,Doctoral(PhD),15,DS/MLE,Small(1-99),53100.0
18-35 years old,Bachelor,6,DS/MLE,Large(>1000),31500.0
18-35 years old,Bachelor,7,DE/DA/BA,Large(>1000),104879.99999999999
>35 years old,Doctoral(PhD),12,DS/MLE,Large(>1000),370000.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),49560.0
>35 years old,Bachelor,30,DE/DA/BA,Large(>1000),103000.0
18-35 years old,Master,6,DE/DA/BA,Small(1-99),94400.0
18-35 years old,Bachelor,6,DE/DA/BA,Large(>1000),109020.0
>35 years old,Bachelor,18,DE/DA/BA,Large(>1000),180150.0
>35 years old,Bachelor,Less than 1 year,DE/DA/BA,Small(1-99),44850.0
>35 years old,Doctoral(PhD),2,DE/DA/BA,Large(>1000),35880.0
>35 years old,Bachelor,14,DS/MLE,Medium(100-999),81400.0
18-35 years old,Bachelor,2,DE/DA/BA,Small(1-99),35636.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),104734.42
18-35 years old,Master,4,DE/DA/BA,Small(1-99),47200.0
>35 years old,Bachelor,20,DE/DA/BA,Large(>1000),79000.0
18-35 years old,Master,5,DE/DA/BA,Large(>1000),115000.0
18-35 years old,Master,4,DE/DA/BA,Medium(100-999),31270.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),38640.0
>35 years old,Master,15,DE/DA/BA,Medium(100-999),56640.0
>35 years old,Bachelor,23,DE/DA/BA,Large(>1000),155000.0
>35 years old,Bachelor,16,DE/DA/BA,Large(>1000),131000.0
>35 years old,Bachelor,12,DS/MLE,Large(>1000),11210.0
18-35 years old,Master,7,DE/DA/BA,Small(1-99),82600.0
>35 years old,Bachelor,16,DE/DA/BA,Small(1-99),143000.0
>35 years old,Bachelor,6,DE/DA/BA,Large(>1000),100000.0
>35 years old,Bachelor,23,DE/DA/BA,Medium(100-999),79000.0
>35 years old,Master,9,DS/MLE,Large(>1000),180000.0
>35 years old,Bachelor,11,DS/MLE,Medium(100-999),162000.0
>35 years old,Bachelor,17,DE/DA/BA,Medium(100-999),100640.0
18-35 years old,Master,4,DE/DA/BA,Large(>1000),53100.0
18-35 years old,Master,4,DE/DA/BA,Large(>1000),150000.0
18-35 years old,Doctoral(PhD),12,DS/MLE,Large(>1000),4366.0
>35 years old,Master,8,DE/DA/BA,Large(>1000),135000.0
18-35 years old,Master,9,DS/MLE,Medium(100-999),118800.0
>35 years old,Doctoral(PhD),7,DS/MLE,Small(1-99),77880.0
18-35 years old,Master,1,DE/DA/BA,Large(>1000),1770.0
>35 years old,Master,22,DE/DA/BA,Medium(100-999),66000.0
>35 years old,Doctoral(PhD),2,DS/MLE,Medium(100-999),42780.0
18-35 years old,Bachelor,Less than 1 year,DS/MLE,Large(>1000),53000.0
>35 years old,Bachelor,36,DE/DA/BA,Small(1-99),86900.0
>35 years old,Master,3,DS/MLE,Large(>1000),90000.0
>35 years old,Bachelor,7,DE/DA/BA,Medium(100-999),77815.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),5040.0
18-35 years old,Bachelor,4,DE/DA/BA,Medium(100-999),110000.0
18-35 years old,Bachelor,2,DE/DA/BA,Large(>1000),160000.0
18-35 years old,Bachelor,5,DS/MLE,Large(>1000),11662.0
>35 years old,Doctoral(PhD),14,DS/MLE,Small(1-99),230000.0
>35 years old,Master,13,DE/DA/BA,Large(>1000),1876.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),0.168
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),130000.0
>35 years old,Doctoral(PhD),28,DS/MLE,Large(>1000),9440.0
>35 years old,Master,25,DE/DA/BA,Small(1-99),100000.0
18-35 years old,Bachelor,7,DE/DA/BA,Large(>1000),45500.0
>35 years old,Master,21,DS/MLE,Medium(100-999),130000.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),52439.99999999999
>35 years old,Bachelor,17,DE/DA/BA,Medium(100-999),112100.0
18-35 years old,Bachelor,5,DS/MLE,Medium(100-999),79310.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),325000.0
18-35 years old,Bachelor,9,DS/MLE,Large(>1000),180000.0
>35 years old,Bachelor,25,DE/DA/BA,Large(>1000),110600.0
>35 years old,Doctoral(PhD),22,DS/MLE,Large(>1000),106200.0
18-35 years old,Bachelor,13,DS/MLE,Large(>1000),120000.0
18-35 years old,Master,7,DS/MLE,Large(>1000),250000.0
18-35 years old,Master,7,DE/DA/BA,Large(>1000),69608.0
>35 years old,Master,6,DS/MLE,Medium(100-999),235000.0
18-35 years old,Bachelor,5,DS/MLE,Large(>1000),168000.0
>35 years old,Doctoral(PhD),8,DS/MLE,Small(1-99),5688.0
>35 years old,Doctoral(PhD),16,DS/MLE,Large(>1000),71000.0
>35 years old,Master,30,DS/MLE,Medium(100-999),99120.0
18-35 years old,Master,2,DS/MLE,Large(>1000),38940.0
18-35 years old,Master,1,DE/DA/BA,Large(>1000),90000.0
18-35 years old,Master,6,DS/MLE,Small(1-99),500000.0
18-35 years old,Bachelor,2,DE/DA/BA,Small(1-99),65000.0
18-35 years old,Bachelor,6,DE/DA/BA,Small(1-99),50976.0
18-35 years old,Bachelor,3,DS/MLE,Small(1-99),11200.0
18-35 years old,Master,1,DE/DA/BA,Small(1-99),4012.0
18-35 years old,Bachelor,10,DE/DA/BA,Medium(100-999),82600.0
>35 years old,Bachelor,6,DE/DA/BA,Medium(100-999),68000.0
18-35 years old,Bachelor,8,DE/DA/BA,Small(1-99),5310.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),50000.0
>35 years old,Master,12,DS/MLE,Large(>1000),1400.0
18-35 years old,Bachelor,5,DE/DA/BA,Small(1-99),52000.0
>35 years old,Bachelor,21,DS/MLE,Small(1-99),117299.99999999999
>35 years old,Master,8,DE/DA/BA,Medium(100-999),112100.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),89000.0
18-35 years old,Master,4,DE/DA/BA,Small(1-99),85560.0
>35 years old,Master,20,DE/DA/BA,Large(>1000),59052.95999999999
>35 years old,Doctoral(PhD),6,DE/DA/BA,Small(1-99),98500.0
>35 years old,Doctoral(PhD),15,DS/MLE,Medium(100-999),10620.0
18-35 years old,Bachelor,8,DS/MLE,Large(>1000),96599.99999999999
18-35 years old,Bachelor,6,DE/DA/BA,Large(>1000),70000.0
18-35 years old,Doctoral(PhD),10,DS/MLE,Large(>1000),276000.0
>35 years old,Master,25,DS/MLE,Large(>1000),400000.0
>35 years old,Bachelor,13,DS/MLE,Large(>1000),110000.0
18-35 years old,Doctoral(PhD),8,DS/MLE,Large(>1000),76110.0
>35 years old,Bachelor,22,DE/DA/BA,Large(>1000),138000.0
>35 years old,Doctoral(PhD),7,DS/MLE,Medium(100-999),80040.0
>35 years old,Bachelor,15,DE/DA/BA,Large(>1000),105000.0
>35 years old,Master,3,DS/MLE,Medium(100-999),478000.0
18-35 years old,Master,8,DS/MLE,Small(1-99),150000.0
18-35 years old,Bachelor,4,DE/DA/BA,Medium(100-999),1591.0
>35 years old,Bachelor,15,DE/DA/BA,Large(>1000),350000.0
>35 years old,Bachelor,21,DS/MLE,Medium(100-999),117299.99999999999
>35 years old,Bachelor,15,DS/MLE,Large(>1000),86510.44
18-35 years old,Bachelor,6,DS/MLE,Small(1-99),66600.0
18-35 years old,Master,8,DS/MLE,Large(>1000),457000.0
>35 years old,Bachelor,26,DE/DA/BA,Small(1-99),177750.0
18-35 years old,Master,2,DE/DA/BA,Large(>1000),67000.0
18-35 years old,Master,8,DE/DA/BA,Small(1-99),80000.0
>35 years old,Bachelor,8,DE/DA/BA,Medium(100-999),5846.0
18-35 years old,Bachelor,7,DE/DA/BA,Small(1-99),118500.0
18-35 years old,Bachelor,9,DE/DA/BA,Large(>1000),400000.0
>35 years old,Bachelor,19,DE/DA/BA,Large(>1000),210000.0
18-35 years old,Bachelor,9,DE/DA/BA,Large(>1000),135000.0
>35 years old,Master,15,DE/DA/BA,Medium(100-999),10000.0
>35 years old,Master,4,DS/MLE,Small(1-99),115000.0
>35 years old,Doctoral(PhD),14,DS/MLE,Medium(100-999),66360.0
18-35 years old,Bachelor,8,DS/MLE,Medium(100-999),96200.0
>35 years old,Master,23,DS/MLE,Small(1-99),248000.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),112000.0
18-35 years old,Master,10,DS/MLE,Large(>1000),86900.0
18-35 years old,Bachelor,4,DS/MLE,Large(>1000),17850.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),88000.0
18-35 years old,Master,11,DS/MLE,Medium(100-999),2400.0
>35 years old,Master,3,DE/DA/BA,Large(>1000),145000.0
>35 years old,Bachelor,14,DE/DA/BA,Small(1-99),61880.0
18-35 years old,Master,1,DS/MLE,Small(1-99),90000.0
>35 years old,Bachelor,29,DE/DA/BA,Medium(100-999),77880.0
>35 years old,Bachelor,37,DE/DA/BA,Medium(100-999),250000.0
